"experiment","condition","id","parameter","model","RMSD","PEARSON"
"E2a","4_average",6,2,"weight_linear_create",0.0413333333333332,NA
"E2a","4_average",6,3,"weight_window_create",0.4,NA
"E2a","4_average",6,3,"weight_linear_create",0.275555555555556,NA
"E2a","4_average",6,4,"weight_window_create",0.0449999999999999,NA
"E2a","4_average",6,4,"weight_linear_create",0.392323232323232,NA
"E2a","4_average",6,5,"weight_window_create",0.358666666666667,NA
"E2a","4_average",6,5,"weight_linear_create",0.446814814814815,NA
"E2a","4_average",6,6,"weight_window_create",0.596666666666667,NA
"E2a","4_average",6,6,"weight_linear_create",0.478362573099415,NA
"E2a","1",3,1,"weight_window_create",0.370809924354783,0.839179107577689
"E2a","1",3,1,"weight_linear_create",0.337199797899856,0.87317477687073
"E2a","1",3,2,"weight_window_create",0.325,0.88514953806902
"E2a","1",3,2,"weight_linear_create",0.26682094302708,0.91166531854502
"E2a","1",3,3,"weight_window_create",0.244191788620399,0.921118695835279
"E2a","1",3,3,"weight_linear_create",0.256500667820949,0.916381934734797
"E2a","1",6,1,"weight_window_create",0.834665601703261,0.15693481619998
"E2a","1",6,1,"weight_linear_create",0.666458300771074,0.411970721597456
"E2a","1",6,2,"weight_window_create",0.595993568197957,0.552239395816193
"E2a","1",6,2,"weight_linear_create",0.424489889946353,0.528730648124812
"E2a","1",6,3,"weight_window_create",0.541602560309064,0.525535883320447
"E2a","1",6,3,"weight_linear_create",0.425773494692975,0.531120210394224
"E2a","1",6,4,"weight_window_create",0.442883543759907,0.548835124097799
"E2a","1",6,4,"weight_linear_create",0.432229115121103,0.524857814081883
"E2a","1",6,5,"weight_window_create",0.435239397726508,0.522382360587059
"E2a","1",6,5,"weight_linear_create",0.43685322562703,0.520545181526913
"E2a","1",6,6,"weight_window_create",0.454529671443155,0.50480584390619
"E2a","1",6,6,"weight_linear_create",0.439982313549978,0.517679594978753
"E2a","2a",3,1,"weight_window_create",0.465474668125631,0.851906178830554
"E2a","2a",3,1,"weight_linear_create",0.320069436910875,0.922887454333268
"E2a","2a",3,2,"weight_window_create",0.268948570052591,0.943043145665468
"E2a","2a",3,2,"weight_linear_create",0.209545854219491,0.967445943253722
"E2a","2a",3,3,"weight_window_create",0.194555523827651,0.97318851156002
"E2a","2a",3,3,"weight_linear_create",0.199071920746321,0.971030564092612
"E2a","2a",6,1,"weight_window_create",0.772010362624751,0.563125558572555
"E2a","2a",6,1,"weight_linear_create",0.543309474595451,0.569530380917871
"E2a","2a",6,2,"weight_window_create",0.778567059839207,0.528814667563578
"E2a","2a",6,2,"weight_linear_create",0.443343358282644,0.65884099481857
"E2a","2a",6,3,"weight_window_create",0.456557164487038,0.676624720046878
"E2a","2a",6,3,"weight_linear_create",0.429872803701346,0.691469371943815
"E2a","2a",6,4,"weight_window_create",0.426712237149737,0.678741891963701
"E2a","2a",6,4,"weight_linear_create",0.462639715741052,0.696798813347533
"E2a","2a",6,5,"weight_window_create",0.474973683481517,0.697562276622837
"E2a","2a",6,5,"weight_linear_create",0.484556901660168,0.697704092130431
"E2a","2a",6,6,"weight_window_create",0.561446544403136,0.695865576536438
"E2a","2a",6,6,"weight_linear_create",0.498881687717641,0.697815819200852
"E2a","4",3,1,"weight_window_create",0.682153452921946,0.823123704333611
"E2a","4",3,1,"weight_linear_create",0.478655524475704,0.909187493860777
"E2a","4",3,2,"weight_window_create",0.431856457633784,0.919151918995263
"E2a","4",3,2,"weight_linear_create",0.36461829638351,0.925959239067393
"E2a","4",3,3,"weight_window_create",0.358804599664972,0.909235593302376
"E2a","4",3,3,"weight_linear_create",0.357427019227806,0.921678219722057
"E2a","4",6,1,"weight_window_create",1.75746028878796,0.466086190450861
"E2a","4",6,1,"weight_linear_create",0.954792977367151,0.548142340360395
"E2a","4",6,2,"weight_window_create",0.768331525666709,0.576643980573696
"E2a","4",6,2,"weight_linear_create",0.709459888459759,0.615807574949234
"E2a","4",6,3,"weight_window_create",0.764198926981712,0.668612904935079
"E2a","4",6,3,"weight_linear_create",0.76436111975347,0.594962594214519
"E2a","4",6,4,"weight_window_create",0.709665414121331,0.603574216263599
"E2a","4",6,4,"weight_linear_create",0.819263034191046,0.582894017727061
"E2a","4",6,5,"weight_window_create",0.821137422522361,0.559081883889991
"E2a","4",6,5,"weight_linear_create",0.850202590236259,0.576067332586556
"E2a","4",6,6,"weight_window_create",0.949337000617136,0.55327030577636
"E2a","4",6,6,"weight_linear_create",0.869465849145088,0.571759397874352
"E2a","6",3,1,"weight_window_create",0.58309518948453,0.772875837597117
"E2a","6",3,1,"weight_linear_create",0.404210642346591,0.883022389607756
"E2a","6",3,2,"weight_window_create",0.343303281162798,0.913720398344831
"E2a","6",3,2,"weight_linear_create",0.252954325229986,0.952434091015558
"E2a","6",3,3,"weight_window_create",0.201055416299289,0.969630927350773
"E2a","6",3,3,"weight_linear_create",0.22906296354898,0.960978581916926
"E2a","6",6,1,"weight_window_create",1.02469507659596,0.42798117731016
"E2a","6",6,1,"weight_linear_create",0.958255690436518,0.434264933333423
"E2a","6",6,2,"weight_window_create",0.951815308214982,0.428866731982059
"E2a","6",6,2,"weight_linear_create",0.854963101403742,0.418940007872582
"E2a","6",6,3,"weight_window_create",0.966420329860798,0.424924170017188
"E2a","6",6,3,"weight_linear_create",0.769467146159253,0.401848292754143
"E2a","6",6,4,"weight_window_create",0.785792745000384,0.380187240780931
"E2a","6",6,4,"weight_linear_create",0.79368187004618,0.385292796982402
"E2a","6",6,5,"weight_window_create",0.809726585247849,0.389737788230604
"E2a","6",6,5,"weight_linear_create",0.817434509275656,0.375833279589678
"E2a","6",6,6,"weight_window_create",0.917085041610086,0.344000595675311
"E2a","6",6,6,"weight_linear_create",0.834474354049472,0.369838096378172
"E2a","8",3,1,"weight_window_create",0.42190046219458,0.867976536742427
"E2a","8",3,1,"weight_linear_create",0.285060097627253,0.935206499413312
"E2a","8",3,2,"weight_window_create",0.246306042692149,0.950184782176453
"E2a","8",3,2,"weight_linear_create",0.245536282132848,0.948922862375963
"E2a","8",3,3,"weight_window_create",0.280871659105878,0.930073351854072
"E2a","8",3,3,"weight_linear_create",0.255737133559993,0.943749602088696
"E2a","8",6,1,"weight_window_create",0.677249338624016,0.771956274828608
"E2a","8",6,1,"weight_linear_create",0.456557164487038,0.712637030986591
"E2a","8",6,2,"weight_window_create",0.664329235645499,0.650691329922117
"E2a","8",6,2,"weight_linear_create",0.539203115718001,0.585481344641659
"E2a","8",6,3,"weight_window_create",0.509320535034086,0.587405394842657
"E2a","8",6,3,"weight_linear_create",0.759985678346978,0.38168159537075
"E2a","8",6,4,"weight_window_create",0.707842967519397,0.37964776349082
"E2a","8",6,4,"weight_linear_create",0.87625689166464,0.271496542334704
"E2a","8",6,5,"weight_window_create",0.921303424502482,0.250934409591333
"E2a","8",6,5,"weight_linear_create",0.932720080716178,0.219759057736132
"E2a","8",6,6,"weight_window_create",1.09301655302433,0.0841375852807406
"E2a","8",6,6,"weight_linear_create",0.965912081705415,0.190180012668201
"E2a","3_average",3,1,"weight_window_create",0.0153846153846153,NA
"E2a","3_average",3,1,"weight_linear_create",0.00256410256410255,NA
"E2a","3_average",3,2,"weight_window_create",0.0115384615384615,NA
"E2a","3_average",3,2,"weight_linear_create",0.0658119658119656,NA
"E2a","3_average",3,3,"weight_window_create",0.0999999999999996,NA
"E2a","3_average",3,3,"weight_linear_create",0.0794871794871792,NA
"E2a","3_average",6,1,"weight_window_create",1.60769230769231,NA
"E2a","3_average",6,1,"weight_linear_create",0.771794871794872,NA
"E2a","3_average",6,2,"weight_window_create",0.353846153846153,NA
"E2a","3_average",6,2,"weight_linear_create",0.186153846153846,NA
"E2a","3_average",6,3,"weight_window_create",0.0589743589743588,NA
"E2a","3_average",6,3,"weight_linear_create",0.096336996336996,NA
"E2a","3_average",6,4,"weight_window_create",0.157692307692308,NA
"E2a","3_average",6,4,"weight_linear_create",0.212820512820513,NA
"E2a","3_average",6,5,"weight_window_create",0.276923076923077,NA
"E2a","3_average",6,5,"weight_linear_create",0.267179487179487,NA
"E2a","3_average",6,6,"weight_window_create",0.416666666666667,NA
"E2a","3_average",6,6,"weight_linear_create",0.298650472334682,NA
"E2a","6_average",3,1,"weight_window_create",0.219047619047619,NA
"E2a","6_average",3,1,"weight_linear_create",0.152380952380952,NA
"E2a","6_average",3,2,"weight_window_create",0.119047619047619,NA
"E2a","6_average",3,2,"weight_linear_create",0.0994708994708997,NA
"E2a","6_average",3,3,"weight_window_create",0.0730158730158728,NA
"E2a","6_average",3,3,"weight_linear_create",0.0888888888888886,NA
"E2a","6_average",6,1,"weight_window_create",0.271428571428571,NA
"E2a","6_average",6,1,"weight_linear_create",0.373015873015873,NA
"E2a","6_average",6,2,"weight_window_create",0.423809523809524,NA
"E2a","6_average",6,2,"weight_linear_create",0.323809523809524,NA
"E2a","6_average",6,3,"weight_window_create",0.587301587301587,NA
"E2a","6_average",6,3,"weight_linear_create",0.0428571428571427,NA
"E2a","6_average",6,4,"weight_window_create",0.0892857142857144,NA
"E2a","6_average",6,4,"weight_linear_create",0.202453102453102,NA
"E2a","6_average",6,5,"weight_window_create",0.249523809523809,NA
"E2a","6_average",6,5,"weight_linear_create",0.276931216931217,NA
"E2a","6_average",6,6,"weight_window_create",0.481746031746031,NA
"E2a","6_average",6,6,"weight_linear_create",0.320050125313283,NA
"E2a","2a_average",3,1,"weight_window_create",0.18,NA
"E2a","2a_average",3,1,"weight_linear_create",0.113333333333333,NA
"E2a","2a_average",3,2,"weight_window_create",0.0799999999999992,NA
"E2a","2a_average",3,2,"weight_linear_create",0.0570370370370368,NA
"E2a","2a_average",3,3,"weight_window_create",0.0288888888888881,NA
"E2a","2a_average",3,3,"weight_linear_create",0.0457777777777775,NA
"E2a","2a_average",6,1,"weight_window_create",0.533333333333334,NA
"E2a","2a_average",6,1,"weight_linear_create",0.202222222222222,NA
"E2a","2a_average",6,2,"weight_window_create",0.57,NA
"E2a","2a_average",6,2,"weight_linear_create",0.112666666666667,NA
"E2a","2a_average",6,3,"weight_window_create",0.208888888888888,NA
"E2a","2a_average",6,3,"weight_linear_create",0.0923809523809531,NA
"E2a","2a_average",6,4,"weight_window_create",0.0266666666666668,NA
"E2a","2a_average",6,4,"weight_linear_create",0.181616161616162,NA
"E2a","2a_average",6,5,"weight_window_create",0.208000000000001,NA
"E2a","2a_average",6,5,"weight_linear_create",0.223259259259259,NA
"E2a","2a_average",6,6,"weight_window_create",0.337777777777778,NA
"E2a","2a_average",6,6,"weight_linear_create",0.247368421052632,NA
"E2a","1_average",3,1,"weight_window_create",0.191666666666667,NA
"E2a","1_average",3,1,"weight_linear_create",0.188888888888889,NA
"E2a","1_average",3,2,"weight_window_create",0.1875,NA
"E2a","1_average",3,2,"weight_linear_create",0.12962962962963,NA
"E2a","1_average",3,3,"weight_window_create",0.100000000000001,NA
"E2a","1_average",3,3,"weight_linear_create",0.117777777777778,NA
"E2a","1_average",6,1,"weight_window_create",0.55,NA
"E2a","1_average",6,1,"weight_linear_create",0.469444444444445,NA
"E2a","1_average",6,2,"weight_window_create",0.429166666666667,NA
"E2a","1_average",6,2,"weight_linear_create",0.0124999999999997,NA
"E2a","1_average",6,3,"weight_window_create",0.333333333333333,NA
"E2a","1_average",6,3,"weight_linear_create",0.0234126984126983,NA
"E2a","1_average",6,4,"weight_window_create",0.133333333333333,NA
"E2a","1_average",6,4,"weight_linear_create",0.055808080808081,NA
"E2a","1_average",6,5,"weight_window_create",0.0116666666666667,NA
"E2a","1_average",6,5,"weight_linear_create",0.0709259259259261,NA
"E2a","1_average",6,6,"weight_window_create",0.1125,NA
"E2a","1_average",6,6,"weight_linear_create",0.0796783625730995,NA
"E2a","3",3,1,"weight_window_create",0.321055950072449,0.938165852341184
"E2a","3",3,1,"weight_linear_create",0.269377249529545,0.949387972617815
"E2a","3",3,2,"weight_window_create",0.299036915652695,0.934867851656844
"E2a","3",3,2,"weight_linear_create",0.215386311212968,0.963201429783875
"E2a","3",3,3,"weight_window_create",0.22322423665243,0.964671143823875
"E2a","3",3,3,"weight_linear_create",0.215509731669928,0.964357903955476
"E2a","3",6,1,"weight_window_create",1.74774580091482,0.127942856414526
"E2a","3",6,1,"weight_linear_create",0.902749835202015,0.463038529679565
"E2a","3",6,2,"weight_window_create",0.53923022056375,0.601141734285819
"E2a","3",6,2,"weight_linear_create",0.402950655501676,0.706175344172723
"E2a","3",6,3,"weight_window_create",0.348746228114272,0.757108922425337
"E2a","3",6,3,"weight_linear_create",0.416699632395546,0.667905545032141
"E2a","3",6,4,"weight_window_create",0.44505833671208,0.683231932912603
"E2a","3",6,4,"weight_linear_create",0.479883524047068,0.642310634424879
"E2a","3",6,5,"weight_window_create",0.542756497321419,0.647727816501692
"E2a","3",6,5,"weight_linear_create",0.516975277742342,0.629846398097028
"E2a","3",6,6,"weight_window_create",0.63523668110842,0.594727256328791
"E2a","3",6,6,"weight_linear_create",0.540125397686269,0.622529623577402
"E2a","6_adjusted_average",3,1,"weight_window_create",0.219047619047619,NA
"E2a","6_adjusted_average",3,1,"weight_linear_create",0.152380952380952,NA
"E2a","6_adjusted_average",3,2,"weight_window_create",0.119047619047619,NA
"E2a","6_adjusted_average",3,2,"weight_linear_create",0.0994708994708997,NA
"E2a","6_adjusted_average",3,3,"weight_window_create",0.0730158730158728,NA
"E2a","6_adjusted_average",3,3,"weight_linear_create",0.0888888888888886,NA
"E2a","6_adjusted_average",6,1,"weight_window_create",0.271428571428571,NA
"E2a","6_adjusted_average",6,1,"weight_linear_create",0.373015873015873,NA
"E2a","6_adjusted_average",6,2,"weight_window_create",0.423809523809524,NA
"E2a","6_adjusted_average",6,2,"weight_linear_create",0.16952380952381,NA
"E2a","6_adjusted_average",6,3,"weight_window_create",0.234920634920635,NA
"E2a","6_adjusted_average",6,3,"weight_linear_create",0.512698412698413,NA
"E2a","6_adjusted_average",6,4,"weight_window_create",0.527380952380952,NA
"E2a","6_adjusted_average",6,4,"weight_linear_create",0.650937950937951,NA
"E2a","6_adjusted_average",6,5,"weight_window_create",0.742857142857143,NA
"E2a","6_adjusted_average",6,5,"weight_linear_create",0.715449735449736,NA
"E2a","6_adjusted_average",6,6,"weight_window_create",0.892857142857143,NA
"E2a","6_adjusted_average",6,6,"weight_linear_create",0.752798663324979,NA
"E2a","8_average",3,1,"weight_window_create",0.126666666666666,NA
"E2a","8_average",3,1,"weight_linear_create",0.086666666666666,NA
"E2a","8_average",3,2,"weight_window_create",0.0666666666666655,NA
"E2a","8_average",3,2,"weight_linear_create",0.0629629629629624,NA
"E2a","8_average",3,3,"weight_window_create",0.0511111111111102,NA
"E2a","8_average",3,3,"weight_linear_create",0.0582222222222217,NA
"E2a","8_average",6,1,"weight_window_create",0.546666666666667,NA
"E2a","8_average",6,1,"weight_linear_create",0.115555555555555,NA
"E2a","8_average",6,2,"weight_window_create",0.446666666666666,NA
"E2a","8_average",6,2,"weight_linear_create",0.176666666666667,NA
"E2a","8_average",6,3,"weight_window_create",0.0266666666666668,NA
"E2a","8_average",6,3,"weight_linear_create",0.469206349206349,NA
"E2a","8_average",6,4,"weight_window_create",0.375,NA
"E2a","8_average",6,4,"weight_linear_create",0.594747474747475,NA
"E2a","8_average",6,5,"weight_window_create",0.64,NA
"E2a","8_average",6,5,"weight_linear_create",0.653333333333333,NA
"E2a","8_average",6,6,"weight_window_create",0.814444444444444,NA
"E2a","8_average",6,6,"weight_linear_create",0.687251461988304,NA
"E2a","5a",3,1,"weight_window_create",0.479583152331272,0.863582225724571
"E2a","5a",3,1,"weight_linear_create",0.416666666666667,0.866058972673426
"E2a","5a",3,2,"weight_window_create",0.429146439652791,0.850818328306617
"E2a","5a",3,2,"weight_linear_create",0.37871615482565,0.884261367753117
"E2a","5a",3,3,"weight_window_create",0.383695481107378,0.881528878858759
"E2a","5a",3,3,"weight_linear_create",0.378725934328946,0.884183050999352
"E2a","5a",6,1,"weight_window_create",0.955902714715258,0.556026030032248
"E2a","5a",6,1,"weight_linear_create",0.958514475634041,0.636596942083138
"E2a","5a",6,2,"weight_window_create",0.976707905841523,0.669089439606856
"E2a","5a",6,2,"weight_linear_create",0.725741000633146,0.543085541213922
"E2a","5a",6,3,"weight_window_create",0.771752455034548,0.467708100321648
"E2a","5a",6,3,"weight_linear_create",0.883782989988946,0.465162552115282
"E2a","5a",6,4,"weight_window_create",0.908925647857587,0.423415833591811
"E2a","5a",6,4,"weight_linear_create",1.00537790971998,0.42801285501331
"E2a","5a",6,5,"weight_window_create",1.11975443736562,0.360165865670564
"E2a","5a",6,5,"weight_linear_create",1.06989394113038,0.408580993147017
"E2a","5a",6,6,"weight_window_create",1.26508490419213,0.351176701095786
"E2a","5a",6,6,"weight_linear_create",1.10903115955109,0.396881125404643
"E2b","5a0",6,1,"weight_window_create",1.35747091045343,0.413406201441284
"E2b","5a0",6,1,"weight_linear_create",1.36215070585253,0.465528199198121
"E2b","5a0",6,2,"weight_window_create",1.3698042328609,0.481229424516967
"E2b","5a0",6,2,"weight_linear_create",0.690875597274278,0.572514009712816
"E2b","5a0",6,3,"weight_window_create",0.66953926567665,0.546111632437477
"E2b","5a0",6,3,"weight_linear_create",0.565315424857247,0.594216691701951
"E2b","5a0",6,4,"weight_window_create",0.58751208885048,0.579645489272408
"E2b","5a0",6,4,"weight_linear_create",0.623871215420434,0.589053719671909
"E2b","5a0",6,5,"weight_window_create",0.709699039926593,0.566738291908664
"E2b","5a0",6,5,"weight_linear_create",0.669074775338593,0.584458770684438
"E2b","5a0",6,6,"weight_window_create",0.832787700158542,0.567374509280275
"E2b","5a0",6,6,"weight_linear_create",0.699318139522133,0.581324528357678
"E2b","5a0",3,1,"weight_window_create",0.829019135649309,0.872316693153562
"E2b","5a0",3,1,"weight_linear_create",0.721460359621407,0.893023456483828
"E2b","5a0",3,2,"weight_window_create",0.672681202353685,0.899279405435966
"E2b","5a0",3,2,"weight_linear_create",0.672241004829842,0.90139546548524
"E2b","5a0",3,3,"weight_window_create",0.651726533714467,0.90263786734064
"E2b","5a0",3,3,"weight_linear_create",0.663681194002608,0.902097148872716
"E2b","5a4",6,1,"weight_window_create",1.2277103596829,0.546573529992253
"E2b","5a4",6,1,"weight_linear_create",1.24709764062503,0.60526815600909
"E2b","5a4",6,2,"weight_window_create",1.26984250992003,0.632540285446785
"E2b","5a4",6,2,"weight_linear_create",0.69013173972932,0.700294905508173
"E2b","5a4",6,3,"weight_window_create",0.675845897204146,0.674599314887615
"E2b","5a4",6,3,"weight_linear_create",0.483542807485324,0.791311643381496
"E2b","5a4",6,4,"weight_window_create",0.526351075372184,0.741927649027452
"E2b","5a4",6,4,"weight_linear_create",0.48440320462035,0.818726038262272
"E2b","5a4",6,5,"weight_window_create",0.53387094116292,0.822701042168326
"E2b","5a4",6,5,"weight_linear_create",0.504887448425887,0.829153315068275
"E2b","5a4",6,6,"weight_window_create",0.613073067308119,0.850753185452374
"E2b","5a4",6,6,"weight_linear_create",0.521943293890237,0.83453685853849
"E2b","5a4",3,1,"weight_window_create",0.552679423766206,0.677816542604513
"E2b","5a4",3,1,"weight_linear_create",0.606030302272689,0.596665983173803
"E2b","5a4",3,2,"weight_window_create",0.651222626365906,0.533282249024998
"E2b","5a4",3,2,"weight_linear_create",0.681386320394423,0.493132805974731
"E2b","5a4",3,3,"weight_window_create",0.730158416462697,0.433195958194153
"E2b","5a4",3,3,"weight_linear_create",0.700141399860042,0.46943809251037
"E2b","5a4_average",6,1,"weight_window_create",1,NA
"E2b","5a4_average",6,1,"weight_linear_create",1.08181818181818,NA
"E2b","5a4_average",6,2,"weight_window_create",1.12272727272727,NA
"E2b","5a4_average",6,2,"weight_linear_create",0.419090909090909,NA
"E2b","5a4_average",6,3,"weight_window_create",0.36969696969697,NA
"E2b","5a4_average",6,3,"weight_linear_create",0.00822510822510836,NA
"E2b","5a4_average",6,4,"weight_window_create",0.040909090909091,NA
"E2b","5a4_average",6,4,"weight_linear_create",0.156749311294766,NA
"E2b","5a4_average",6,5,"weight_window_create",0.269090909090909,NA
"E2b","5a4_average",6,5,"weight_linear_create",0.233737373737374,NA
"E2b","5a4_average",6,6,"weight_window_create",0.445454545454545,NA
"E2b","5a4_average",6,6,"weight_linear_create",0.278309409888357,NA
"E2b","5a4_average",3,1,"weight_window_create",0.0727272727272723,NA
"E2b","5a4_average",3,1,"weight_linear_create",0.103030303030303,NA
"E2b","5a4_average",3,2,"weight_window_create",0.118181818181818,NA
"E2b","5a4_average",3,2,"weight_linear_create",0.0909090909090904,NA
"E2b","5a4_average",3,3,"weight_window_create",0.0848484848484845,NA
"E2b","5a4_average",3,3,"weight_linear_create",0.0884848484848484,NA
"E2b","5a",6,1,"weight_window_create",1.23582876130665,0.159101817850786
"E2b","5a",6,1,"weight_linear_create",1.22003477347363,0.187837566986775
"E2b","5a",6,2,"weight_window_create",1.21655250605964,0.201564847278151
"E2b","5a",6,2,"weight_linear_create",0.790563665425441,0.340364144824901
"E2b","5a",6,3,"weight_window_create",0.762968683578305,0.367762050520306
"E2b","5a",6,3,"weight_linear_create",0.760928757983861,0.436866498803356
"E2b","5a",6,4,"weight_window_create",0.777086633756904,0.420251208446562
"E2b","5a",6,4,"weight_linear_create",0.813954490956564,0.462969816272539
"E2b","5a",6,5,"weight_window_create",0.873550747862372,0.482299668583517
"E2b","5a",6,5,"weight_linear_create",0.849105424812896,0.473017110301037
"E2b","5a",6,6,"weight_window_create",0.972461730960051,0.494424784089351
"E2b","5a",6,6,"weight_linear_create",0.872062027273202,0.478253183741125
"E2b","5a",3,1,"weight_window_create",0.390803368367358,0.760420999290541
"E2b","5a",3,1,"weight_linear_create",0.387949804104926,0.742718432687457
"E2b","5a",3,2,"weight_window_create",0.401134754052913,0.724324458938647
"E2b","5a",3,2,"weight_linear_create",0.373144492884655,0.765677794407851
"E2b","5a",3,3,"weight_window_create",0.373490226773003,0.770400008911423
"E2b","5a",3,3,"weight_linear_create",0.372650891410026,0.768068837790193
"E2b","5a_average",6,1,"weight_window_create",0.854545454545454,NA
"E2b","5a_average",6,1,"weight_linear_create",0.872727272727273,NA
"E2b","5a_average",6,2,"weight_window_create",0.881818181818182,NA
"E2b","5a_average",6,2,"weight_linear_create",0.193636363636363,NA
"E2b","5a_average",6,3,"weight_window_create",0.112121212121212,NA
"E2b","5a_average",6,3,"weight_linear_create",0.221212121212121,NA
"E2b","5a_average",6,4,"weight_window_create",0.254545454545455,NA
"E2b","5a_average",6,4,"weight_linear_create",0.384848484848485,NA
"E2b","5a_average",6,5,"weight_window_create",0.510909090909091,NA
"E2b","5a_average",6,5,"weight_linear_create",0.461212121212121,NA
"E2b","5a_average",6,6,"weight_window_create",0.671212121212121,NA
"E2b","5a_average",6,6,"weight_linear_create",0.505422647527911,NA
"E2b","5a_average",3,1,"weight_window_create",0.181818181818182,NA
"E2b","5a_average",3,1,"weight_linear_create",0.121212121212121,NA
"E2b","5a_average",3,2,"weight_window_create",0.0909090909090908,NA
"E2b","5a_average",3,2,"weight_linear_create",0.0949494949494953,NA
"E2b","5a_average",3,3,"weight_window_create",0.0818181818181811,NA
"E2b","5a_average",3,3,"weight_linear_create",0.0896969696969698,NA
"E2b","5a0_average",6,1,"weight_window_create",1.17272727272727,NA
"E2b","5a0_average",6,1,"weight_linear_create",1.1969696969697,NA
"E2b","5a0_average",6,2,"weight_window_create",1.20909090909091,NA
"E2b","5a0_average",6,2,"weight_linear_create",0.394545454545455,NA
"E2b","5a0_average",6,3,"weight_window_create",0.327272727272727,NA
"E2b","5a0_average",6,3,"weight_linear_create",0.0670995670995671,NA
"E2b","5a0_average",6,4,"weight_window_create",0.156818181818182,NA
"E2b","5a0_average",6,4,"weight_linear_create",0.248760330578512,NA
"E2b","5a0_average",6,5,"weight_window_create",0.390909090909091,NA
"E2b","5a0_average",6,5,"weight_linear_create",0.333535353535353,NA
"E2b","5a0_average",6,6,"weight_window_create",0.566666666666667,NA
"E2b","5a0_average",6,6,"weight_linear_create",0.382615629984051,NA
"E2b","5a0_average",3,1,"weight_window_create",0.472727272727273,NA
"E2b","5a0_average",3,1,"weight_linear_create",0.378787878787878,NA
"E2b","5a0_average",3,2,"weight_window_create",0.331818181818182,NA
"E2b","5a0_average",3,2,"weight_linear_create",0.342424242424242,NA
"E2b","5a0_average",3,3,"weight_window_create",0.324242424242423,NA
"E2b","5a0_average",3,3,"weight_linear_create",0.335151515151515,NA
"E3","2b",3,1,"weight_window_create",0.31224989991992,0.919224618061094
"E3","2b",3,1,"weight_linear_create",0.264365067451978,0.93418259243593
"E3","2b",3,2,"weight_window_create",0.284824507372522,0.923228113729223
"E3","2b",3,2,"weight_linear_create",0.245074944445697,0.94785864916293
"E3","2b",3,3,"weight_window_create",0.255277626647277,0.946043922295561
"E3","2b",3,3,"weight_linear_create",0.247592855757637,0.947951578941053
"E3","2b",6,1,"weight_window_create",1.20457461371224,0.6083143964935
"E3","2b",6,1,"weight_linear_create",0.436463056855904,0.733247684175653
"E3","2b",6,2,"weight_window_create",0.835089815528845,0.750517411252973
"E3","2b",6,2,"weight_linear_create",0.426215907727527,0.723822206497852
"E3","2b",6,3,"weight_window_create",0.460736125974269,0.713304478040525
"E3","2b",6,3,"weight_linear_create",0.453699831843661,0.703723912796544
"E3","2b",6,4,"weight_window_create",0.455727440472921,0.693103321942064
"E3","2b",6,4,"weight_linear_create",0.487811966061967,0.693131484387679
"E3","2b",6,5,"weight_window_create",0.502195181179589,0.683898364867428
"E3","2b",6,5,"weight_linear_create",0.507389834786276,0.687943856041632
"E3","2b",6,6,"weight_window_create",0.570769461146773,0.673067079660197
"E3","2b",6,6,"weight_linear_create",0.519646339000089,0.684880383997597
"E3","2a",3,1,"weight_window_create",0.47368238303741,0.547085028413683
"E3","2a",3,1,"weight_linear_create",0.294981167007131,0.7346677963718
"E3","2a",3,2,"weight_window_create",0.226384628453435,0.817346981868536
"E3","2a",3,2,"weight_linear_create",0.188418532023462,0.87688523201726
"E3","2a",3,3,"weight_window_create",0.150231303144333,0.925622406582347
"E3","2a",3,3,"weight_linear_create",0.171180541469461,0.899808900814512
"E3","2a",6,1,"weight_window_create",1.13880419739304,0.621153403887241
"E3","2a",6,1,"weight_linear_create",0.53118055101611,0.669776294875291
"E3","2a",6,2,"weight_window_create",1.08900757573123,0.606562245048333
"E3","2a",6,2,"weight_linear_create",0.522589705218157,0.604149874980697
"E3","2a",6,3,"weight_window_create",0.57710965643936,0.659435781552163
"E3","2a",6,3,"weight_linear_create",0.488688663647239,0.53733645695685
"E3","2a",6,4,"weight_window_create",0.5355706652721,0.411095672792334
"E3","2a",6,4,"weight_linear_create",0.502032713804616,0.513974285234509
"E3","2a",6,5,"weight_window_create",0.533104117410474,0.436154097336425
"E3","2a",6,5,"weight_linear_create",0.514324740092877,0.502154435655209
"E3","2a",6,6,"weight_window_create",0.565363083926309,0.466879517850547
"E3","2a",6,6,"weight_linear_create",0.523069851805331,0.495056333156759
"E3","2a_average",3,1,"weight_window_create",0.19375,NA
"E3","2a_average",3,1,"weight_linear_create",0.13125,NA
"E3","2a_average",3,2,"weight_window_create",0.0999999999999996,NA
"E3","2a_average",3,2,"weight_linear_create",0.106249999999999,NA
"E3","2a_average",3,3,"weight_window_create",0.0937499999999991,NA
"E3","2a_average",3,3,"weight_linear_create",0.101249999999999,NA
"E3","2a_average",6,1,"weight_window_create",1.04375,NA
"E3","2a_average",6,1,"weight_linear_create",0.310416666666667,NA
"E3","2a_average",6,2,"weight_window_create",0.9875,NA
"E3","2a_average",6,2,"weight_linear_create",0.24,NA
"E3","2a_average",6,3,"weight_window_create",0.370833333333333,NA
"E3","2a_average",6,3,"weight_linear_create",0.0169642857142853,NA
"E3","2a_average",6,4,"weight_window_create",0.0890624999999998,NA
