"experiment","condition","id","parameter","model","RMSD","PEARSON"
"E1","7",9,4,"weight_window_create",0.47368238303741,0.706551813640185
"E1","7",9,4,"weight_linear_create",0.48192382615682,0.7426786086453
"E1","7",9,5,"weight_window_create",0.720453668442387,0.647034602550482
"E1","7",9,5,"weight_linear_create",0.468159892432197,0.751211836142047
"E1","7",9,6,"weight_window_create",0.61090245439475,0.695458992429648
"E1","7",9,6,"weight_linear_create",0.464076750244736,0.752070710020918
"E1","7",9,7,"weight_window_create",0.53374697217044,0.723641492980373
"E1","7",9,7,"weight_linear_create",0.462555503726998,0.751439599732623
"E1","7",9,8,"weight_window_create",0.490903625815325,0.738492326799613
"E1","7",9,8,"weight_linear_create",0.461933005917016,0.750536827546891
"E1","7",9,9,"weight_window_create",0.463547004561394,0.740325383075079
"E1","7",9,9,"weight_linear_create",0.461681114901335,0.749656175178913
"E1","7",6,1,"weight_window_create",0.821513068021582,0.46483695947492
"E1","7",6,1,"weight_linear_create",0.771839642742278,0.460342862189242
"E1","7",6,2,"weight_window_create",0.925636173440405,0.423174839982101
"E1","7",6,2,"weight_linear_create",0.616091566429021,0.508021066000927
"E1","7",6,3,"weight_window_create",0.644936549169591,0.452465789674434
"E1","7",6,3,"weight_linear_create",0.689150692444777,0.490276381672689
"E1","7",6,4,"weight_window_create",0.691004399481913,0.496005436050652
"E1","7",6,4,"weight_linear_create",0.76094181537412,0.458805346883443
"E1","7",6,5,"weight_window_create",0.806002192852923,0.457921980940895
"E1","7",6,5,"weight_linear_create",0.800059070457706,0.441191756686715
"E1","7",6,6,"weight_window_create",0.92138055051268,0.387420397445254
"E1","7",6,6,"weight_linear_create",0.824059962565507,0.4303795907688
"E1","4",3,1,"weight_window_create",0.319089614086986,0.850008958522114
"E1","4",3,1,"weight_linear_create",0.257415279776913,0.917228053763466
"E1","4",3,2,"weight_window_create",0.255840859626733,0.928986792398433
"E1","4",3,2,"weight_linear_create",0.185198652708943,0.961803161645087
"E1","4",3,3,"weight_window_create",0.175234330846072,0.967633749418538
"E1","4",3,3,"weight_linear_create",0.17852368770196,0.965686567838572
"E1","4",6,1,"weight_window_create",1.37510330190466,0.364906278080333
"E1","4",6,1,"weight_linear_create",0.655358641886219,0.460466605915027
"E1","4",6,2,"weight_window_create",0.637466576663935,0.4850808439503
"E1","4",6,2,"weight_linear_create",0.606420196353531,0.501122693093457
"E1","4",6,3,"weight_window_create",0.914529188360676,0.46778976156282
"E1","4",6,3,"weight_linear_create",0.513298716194577,0.556538842338861
"E1","4",6,4,"weight_window_create",0.5510320894797,0.543315679957522
"E1","4",6,4,"weight_linear_create",0.506318701608283,0.575929647876768
"E1","4",6,5,"weight_window_create",0.49433150452266,0.597344159302812
"E1","4",6,5,"weight_linear_create",0.511430730104014,0.584604452152906
"E1","4",6,6,"weight_window_create",0.551215369740707,0.606709663164724
"E1","4",6,6,"weight_linear_create",0.516771515723121,0.589489101974089
"E1","6",3,1,"weight_window_create",0.433234702779346,0.834327572015256
"E1","6",3,1,"weight_linear_create",0.215628677350037,0.950995775477289
"E1","6",3,2,"weight_window_create",0.164082530828473,0.973319072431935
"E1","6",3,2,"weight_linear_create",0.154943852220508,0.973360745429929
"E1","6",3,3,"weight_window_create",0.153589529557661,0.973499808567059
"E1","6",3,3,"weight_linear_create",0.151572949349015,0.9743688195444
"E1","6",6,1,"weight_window_create",0.959166304662544,0.534026187397419
"E1","6",6,1,"weight_linear_create",0.930765698940816,0.549964533516134
"E1","6",6,2,"weight_window_create",0.925285818627869,0.551687417577682
"E1","6",6,2,"weight_linear_create",0.642231685968186,0.586733805400106
"E1","6",6,3,"weight_window_create",0.81481999480353,0.580674251278008
"E1","6",6,3,"weight_linear_create",0.536639412837364,0.611430920684135
"E1","6",6,4,"weight_window_create",0.532952588452727,0.585862347374052
"E1","6",6,4,"weight_linear_create",0.649612334883313,0.602493549855129
"E1","6",6,5,"weight_window_create",0.718888030224457,0.583470161085093
"E1","6",6,5,"weight_linear_create",0.722728816410606,0.592514928075341
